,Name,Community,Year of Construction,probability
136,Brown Residence,UPPER MOUNT ROYAL,1927,0.1789073
104,Bishop's House (Anglican),UPPER MOUNT ROYAL,1914,0.17844427
324,Edmonds Block,BELTLINE,1913,0.17837301
424,Harvey Block,BELTLINE,1913,0.17837301
620,Miquelon Residence,UPPER MOUNT ROYAL,1929,0.1773126
132,British American Oil Company Refinery,INGLEWOOD,1939,0.17663845
609,Medical Centre Building,DOWNTOWN COMMERCIAL CORE,1957,0.17652752
212,Central High School,BELTLINE,1907,0.17631447
690,Patrick Residence,UPPER MOUNT ROYAL,1926,0.17614321
311,Eagle Hall / Hale Bros Building,BELTLINE,1905,0.17609315
160,Calgary Electric Substation #1,DOWNTOWN COMMERCIAL CORE,1935,0.17607258
834,St. Andrew's United Church,CHINOOK PARK,1961,0.17487918
300,Donegal Mansions,SUNNYSIDE,1931,0.1743676
696,Petro Chemical Building,DOWNTOWN COMMERCIAL CORE,1956,0.17369999
580,Malcolm Davis Residence,UPPER MOUNT ROYAL,1912,0.17352386
901,Traunweiser Residence,UPPER MOUNT ROYAL,1912,0.17352386
477,Inglewood Community Hall,INGLEWOOD,1967,0.1735156
508,Jennison (Dingman) Residence,CLIFF BUNGALOW,1909,0.17350195
670,Ogden Residence,CLIFF BUNGALOW,1909,0.17350195
279,Darling Residence,CLIFF BUNGALOW,1909,0.17350195
157,Calgary Chinese Cultural Center,CHINATOWN,1992,0.17252325
855,St. Mary's Rectory and Parish Office,MISSION,1958,0.17237478
731,Reconciliation Bridge,BRIDGELAND/RIVERSIDE,1910,0.17150715
533,King Residence,SUNNYSIDE,1912,0.17120501
582,Manning Residence,UPPER MOUNT ROYAL,1912,0.17082565
111,Blow Residence,UPPER MOUNT ROYAL,1912,0.17082565
744,Ritchie Apartments,CLIFF BUNGALOW,1941,0.17035991
234,Club Carousel,BELTLINE,1905,0.17010897
950,Western Steel Products Plant,RAMSAY,1919,0.16996181
496,Jacques Funeral Home,BELTLINE,1937,0.16910726
32,A. B. Cushing Lumber Company,BELTLINE,1912,0.16846423
584,Massey-Harris Co. Warehouse,BELTLINE,1912,0.16846423
373,G.F. Stephens & Company Paint Warehouse,BELTLINE,1912,0.16846423
753,Roberts Block,BELTLINE,1912,0.16846423
66,Assumption of the Blessed Virgin Mary Ukrainian Catholic Church,RENFREW,1956,0.16767555
862,St. Stephen's Manse (Rectory),BELTLINE,1909,0.16758159
485,Iverson Residence,BOWNESS,1934,0.16754347
802,Shouldice (Dutton) Residence,UPPER MOUNT ROYAL,1929,0.16688782
434,Herald Mechanical Building,DOWNTOWN COMMERCIAL CORE,1964,0.16644609
771,Sales Residence,BELTLINE,1904,0.16561826
734,Residence/Boarding House,BELTLINE,1902,0.16427231
505,Jefferies Residence,RAMSAY,1912,0.16341354
126,Bridgeland School,BRIDGELAND/RIVERSIDE,1921,0.16335979
701,Pierson Residence,UPPER MOUNT ROYAL,1912,0.16327764
283,Dawson Residence,UPPER MOUNT ROYAL,1912,0.16327764
871,Stein Apartments,BELTLINE,1911,0.1627491
564,Lowe Residence,BELTLINE,1911,0.1627491
687,Pascoe Residence,UPPER MOUNT ROYAL,1911,0.16243896
129,Brigden Shops,BELTLINE,1910,0.16216204
563,Louise Block,BELTLINE,1910,0.16216204
565,Lyon's Confectionery Building,INGLEWOOD,1946,0.16165456
861,St. Stephen’s Anglican Church and Education Building,BELTLINE,1952,0.16125564
803,Shuler's Grocery,BRIDGELAND/RIVERSIDE,1912,0.16122971
196,Cannibale Block,BRIDGELAND/RIVERSIDE,1912,0.16122971
385,Gerlitz Block,BRIDGELAND/RIVERSIDE,1912,0.16122971
374,Gallelli Block,BRIDGELAND/RIVERSIDE,1912,0.16122971
413,Greyhound Building,CHINATOWN,1946,0.16064489
837,"St. Augustine’s Anglican Church, Manse, and Parish Hall",OGDEN,1912,0.16005853
301,"Donnelly, Watson & Brown Warehouse",BELTLINE,1910,0.1597305
372,G.F. & J. Galt & Co. Wholesale Grocers Warehouse,BELTLINE,1910,0.1597305
334,Engle Building,BELTLINE,1912,0.15926975
693,"Pellatt Block B8, Currie Barracks",CURRIE BARRACKS,1952,0.15798925
893,Teskey Residence,BELTLINE,1912,0.15783127
775,Sandringham Apartments,BELTLINE,1912,0.15783127
370,Fyshe House,UPPER MOUNT ROYAL,1913,0.15746942
621,Mire Katchen Residence,UPPER MOUNT ROYAL,1954,0.15713792
657,Northern Electric Co. Warehouse,BELTLINE,1913,0.15525804
169,Calgary Paint & Glass Co. Warehouse,BELTLINE,1913,0.15525804
702,Pilkington Paint & Glass,BELTLINE,1913,0.15525804
813,Sinclair Residence,RAMSAY,1911,0.15505077
277,Daniel McNeil Residence,CLIFF BUNGALOW,1910,0.15457913
335,Ernest S Leonard Residence,CLIFF BUNGALOW,1910,0.15457913
480,Inland Cement Industries Office Building,FOOTHILLS,1963,0.15389402
705,Plunkett & Savage Warehouse,BELTLINE,1950,0.15379345
40,AGT Warehouse,BELTLINE,1921,0.15366629
476,Imperial Tobacco Warehouse,BELTLINE,1929,0.15313613
481,International Harvester Co. of Canada Showroom and Service Station,BELTLINE,1929,0.15313613
488,J.H. Ashdown Hardware Warehouse,DOWNTOWN COMMERCIAL CORE,1952,0.15263914
379,General Motors Warehouse,BELTLINE,1931,0.15243338
623,Model Milk Building,BELTLINE,1933,0.1522261
880,Stuart Residence,UPPER MOUNT ROYAL,1910,0.15179044
816,Smalley Residence,SUNNYSIDE,1910,0.14935979
213,Central High School Addition,BELTLINE,1940,0.14873302
268,Cross Residence (Hextall Home),BOWNESS,1913,0.14870287
933,Wallace Residence (Hextall home),BOWNESS,1913,0.14870287
461,Holy Trinity Church,FOREST LAWN,1962,0.14758566
330,Ellison Milling & Elevator Co.,BELTLINE,1928,0.14752726
613,Metals Limited Warehouse,BELTLINE,1928,0.14752726
725,Ranchlands Hills Parks,RANCHLANDS,1976,0.1474224
70,Aull Block #1 & #2,BELTLINE,1908,0.14736503
41,Aikenhead Residence,UPPER MOUNT ROYAL,1929,0.14703806
868,Stanley Jones Grocery,RENFREW,1913,0.1457489
543,Langley Residence,BANKVIEW,1910,0.14499357
133,Broatch Residence,INGLEWOOD,1902,0.1448168
942,Wellington Terrace,SUNNYSIDE,1911,0.1446958
679,Our Lady Queen of Peace Roman Catholic Church,UNIVERSITY HEIGHTS,1968,0.143881
339,Field Residence,WEST HILLHURST,1892,0.143679
831,Sprenger Residence,WEST HILLHURST,1895,0.143679
665,Oddfellows' Hall,INGLEWOOD,1950,0.14235556
433,Henry Residence,SHAGANAPPI,1914,0.14224869
204,Carscallen Block,SUNNYSIDE,1911,0.14219141
652,No.11 RCAF Equipment and Storage Depot Warehouses,ALYTH/BONNYBROOK,1940,0.14129487
603,McIntyre Residence,RAMSAY,1910,0.14039046
45,Alberta Distillers,ALYTH/BONNYBROOK,1949,0.13962759
170,Calgary Petroleum Club,DOWNTOWN COMMERCIAL CORE,1957,0.13853331
882,Suitor Residence,INGLEWOOD,1908,0.13802126
458,Holiday Inn (Ramada Hotel),DOWNTOWN COMMERCIAL CORE,1964,0.137913
303,Doyle Residence,UPPER MOUNT ROYAL,1910,0.1379088
299,Dominion Bridge/Riverside Iron Works,RAMSAY,1927,0.13710192
792,Shaarey Tzedec Synagogue,MISSION,1959,0.13704327
305,Drill Hall (Aero Space Museum Association of Calgary),PEGASUS,1941,0.13687883
535,Kneeshaw Residence,RAMSAY,1912,0.13642392
524,Katchen Bros. (Calgary Packers),ALYTH/BONNYBROOK,1938,0.13508901
186,Canadian Equipment & Supply,BELTLINE,1912,0.13345447
784,Scott Fruit Co. & Lowney Wm. Co.,BELTLINE,1912,0.13345447
164,Calgary Labour Temple,BELTLINE,1912,0.13345447
641,Neilson's Furniture Warehouse,BELTLINE,1912,0.13345447
538,L.T. Mewburn Co. Ltd.,BELTLINE,1912,0.13345447
900,Trainor Residence,MISSION,1912,0.13311106
441,Hickey Residence,MISSION,1912,0.13311106
885,Sunnyside Bungalow School,SUNNYSIDE,1919,0.13273083
924,Vendome Block,SUNNYSIDE,1912,0.13234378
483,Irwin Block,SUNNYSIDE,1912,0.13234378
417,Gurevitch Residence,UPPER MOUNT ROYAL,1929,0.13059367
796,Shaver Residence,UPPER MOUNT ROYAL,1930,0.13059367
2,104/106 10 Street NW,SUNNYSIDE,1919,0.13017246
4,108 10 Street NW,SUNNYSIDE,1919,0.13017246
3,106A 10 Street NW,SUNNYSIDE,1919,0.13017246
780,Schriner Residence,BRIDGELAND/RIVERSIDE,1939,0.12943086
674,Olympic Saddledome,BELTLINE,1981,0.12875047
799,Sherwin-Williams Co. Warehouse,BELTLINE,1913,0.12747858
21,614 17 AV SW,BELTLINE,1913,0.12747858
318,East Sunnyside Grocery,SUNNYSIDE,1913,0.12641048
842,St. George's Island Bridge,BRIDGELAND/RIVERSIDE,1908,0.1259075
839,St. Cecilia's Roman Catholic Church,ACADIA,1968,0.12569003
49,Alberta Wheat Pool Building,DOWNTOWN COMMERCIAL CORE,1958,0.12555379
254,Costigan Residence,MISSION,1893,0.12491234
499,Jalland Block,BELTLINE,1907,0.124211974
710,Porter Residence,UPPER MOUNT ROYAL,1929,0.124169365
472,Hutchings Residence,UPPER MOUNT ROYAL,1929,0.124169365
931,W.R. Castell Central Library,DOWNTOWN COMMERCIAL CORE,1963,0.12317619
411,Greig House,UPPER MOUNT ROYAL,1911,0.12156763
207,Carter Residence,UPPER MOUNT ROYAL,1911,0.12156763
566,Lyons Residence,RAMSAY,1911,0.12129736
297,Dome Building,DOWNTOWN COMMERCIAL CORE,1958,0.12119004
332,Elveden Centre,DOWNTOWN COMMERCIAL CORE,1958,0.12119004
390,Glenbow Museum Exterior Murals,DOWNTOWN COMMERCIAL CORE,1975,0.12059362
175,Calgary Tower,DOWNTOWN COMMERCIAL CORE,1968,0.12059362
107,Black (Davies) Residence,UPPER MOUNT ROYAL,1912,0.12038242
719,R.W. McDonald Residence,SUNNYSIDE,1912,0.11996806
490,J.H. Jamieson Residence,SUNNYSIDE,1912,0.11996806
967,Woodhall Residence,BELTLINE,1905,0.11977012
429,Heagle Building,DOWNTOWN COMMERCIAL CORE,1958,0.11936126
558,Lough & Elaine Apartments,SUNNYSIDE,1923,0.11843529
243,Commercial Body Works Building,INGLEWOOD,1946,0.11725436
706,Plunkett House,UPPER MOUNT ROYAL,1911,0.11719673
547,Latimer Residence,UPPER MOUNT ROYAL,1911,0.11719673
707,Poffenroth Block,BRIDGELAND/RIVERSIDE,1910,0.11693928
949,Western Hospital,BELTLINE,1906,0.116401434
251,Coste Estate - Coach House,UPPER MOUNT ROYAL,1912,0.11604849
291,Dick House,UPPER MOUNT ROYAL,1912,0.11604849
252,Coste Estate - Coste Residence,UPPER MOUNT ROYAL,1912,0.11604849
249,Cope House,UPPER MOUNT ROYAL,1912,0.11604849
388,Gilfoy Residence,UPPER MOUNT ROYAL,1912,0.11604849
712,Price Residence,UPPER MOUNT ROYAL,1912,0.11604849
601,McHugh House,BELTLINE,1896,0.11600547
835,St. Ann’s Presbytery,RAMSAY,1913,0.11596375
797,Shelbourne Building,DOWNTOWN COMMERCIAL CORE,1958,0.11518444
67,Athlone Apartments,MISSION,1940,0.11512997
597,McDonald Residence,RAMSAY,1911,0.11494407
52,Alexandra Terrace,BELTLINE,1907,0.11409975
187,Canadian Martyrs Catholic Parish Church,COLLINGWOOD,1967,0.11213915
503,Jamieson Residence,UPPER MOUNT ROYAL,1909,0.111891955
253,Coste Estate - Dower House,UPPER MOUNT ROYAL,1912,0.11165152
928,Vincent Residence,UPPER MOUNT ROYAL,1912,0.11165152
939,Webster Residence,UPPER MOUNT ROYAL,1913,0.110444784
42,Albert C Talbot Residence,BELTLINE,1905,0.10994485
282,Davis Residence,BELTLINE,1905,0.10994485
841,St. Gabriel's Anglican Church,MOUNT PLEASANT,1960,0.10948777
329,Electric Substation #14,BOWNESS,1961,0.10887283
766,Russell House,UPPER MOUNT ROYAL,1912,0.10860311
1,1037 2 Avenue NW,SUNNYSIDE,1939,0.10798056
777,Sayre Estate,UPPER MOUNT ROYAL,1905,0.10780502
910,Tudhope Anderson Company Ltd.,BELTLINE,1906,0.10778366
520,Jolly Residence,RAMSAY,1910,0.10678247
237,Colgrove Residence,UPPER MOUNT ROYAL,1913,0.10653191
934,Walsh House,UPPER MOUNT ROYAL,1914,0.10644176
91,Beaudry Block,RAMSAY,1911,0.104886666
517,John Steinbrecher Residence,CRESCENT HEIGHTS,1907,0.10395805
785,Scott Residence,RAMSAY,1909,0.10394834
828,Spence Residence,RAMSAY,1909,0.10394834
595,McCurdy Residence,RAMSAY,1909,0.10394834
161,Calgary Gas Co. Workshop,BELTLINE,1907,0.10382829
886,Sunnyside Grocery,SUNNYSIDE,1911,0.10284184
978,Young Residence,UPPER MOUNT ROYAL,1910,0.1023636
636,Naismith Residence & Carriage House,UPPER MOUNT ROYAL,1910,0.1023636
800,Shimmin Residence,UPPER MOUNT ROYAL,1910,0.1023636
350,Firestone Tire & Rubber Company of Canada (water tower),MAYLAND,1960,0.10232381
604,McKay Lodge,RAMSAY,1911,0.10042859
158,Calgary Co-operative Fur Farmers' Association Building,RAMSAY,1912,0.09893007
179,Calgary Zoo Conservatory - Tropical Aviary,BRIDGELAND/RIVERSIDE,1962,0.097810686
312,Eamon's Bungalow Camp,ROCKY RIDGE,1952,0.09773892
137,Brydon Residence,UPPER MOUNT ROYAL,1908,0.09760552
498,Jade Palace Restaurant Sign,CHINATOWN,1960,0.0974994
894,The Standard Church of America,INGLEWOOD,1956,0.09530153
422,Harrison Residence,RAMSAY,1912,0.094975546
527,Kennedy's Garage,SUNALTA,1927,0.0945751
528,Kerby Memorial Building,DOWNTOWN WEST END,1948,0.09384984
585,Mauch Residence,BRIDGELAND/RIVERSIDE,1911,0.0927505
12,144/146 10 Street NW,SUNNYSIDE,1912,0.091783375
599,McDowell Duplex,BRIDGELAND/RIVERSIDE,1912,0.09017635
445,Hilderman Residence,BRIDGELAND/RIVERSIDE,1912,0.09017635
269,Cunningham Residence,SUNALTA,1910,0.0899529
363,Frank Block,RAMSAY,1912,0.08991207
638,Natural Resources Building,DOWNTOWN COMMERCIAL CORE,1966,0.08903188
114,Borland (Craik) Residence,RAMSAY,1906,0.08853234
588,Mayland Heights Safeway,MAYLAND HEIGHTS,1963,0.0876663
644,Nevler (Yorkshire) Block,RAMSAY,1915,0.086179726
662,NOVA Building Complex,DOWNTOWN COMMERCIAL CORE,1979,0.08401646
611,Memorial Park Chapel/Rose & Crown Pub,BELTLINE,1935,0.083622165
864,St. Vladimir's Ukrainian Orthodox Church and Cultural Centre,CRESCENT HEIGHTS,1977,0.08282749
512,John J. Bowlen Building,DOWNTOWN COMMERCIAL CORE,1969,0.08246004
491,J.I. Case Co. Building,BELTLINE,1907,0.07759047
570,MacKenzie Residence,UPPER MOUNT ROYAL,1927,0.07663702
46,Alberta Grocery,RAMSAY,1912,0.0758667
292,Dillabough-Nickle Residence,UPPER MOUNT ROYAL,1951,0.07516629
80,"Bank of Montreal, Highfield Branch",MANCHESTER INDUSTRIAL,1962,0.07248587
514,John K Kaiser Residence,BRIDGELAND/RIVERSIDE,1910,0.07109779
682,Palliser Square,DOWNTOWN COMMERCIAL CORE,1965,0.07101918
322,Economy Cleaners & Tailors Building,INGLEWOOD,1946,0.07084224
735,Reverend George McDougall Memorial Site,PANORAMA HILLS,1976,0.07068411
550,Leavitt Residence,UPPER MOUNT ROYAL,1970,0.07036947
964,Wilson's Arch Building,MERIDIAN,1965,0.06826528
122,Bradie Building,DOWNTOWN COMMERCIAL CORE,1965,0.06664517
951,Western Union Insurance Building,DOWNTOWN COMMERCIAL CORE,1965,0.06664517
325,Education Centre Building,DOWNTOWN COMMERCIAL CORE,1969,0.06507048
209,Catholic School Centre,DOWNTOWN COMMERCIAL CORE,1968,0.06507048
378,Geddes House,UPPER MOUNT ROYAL,1911,0.06468852
814,Skaken Residence,UPPER MOUNT ROYAL,1947,0.06426789
487,J. Stevenson & Associates,BELTLINE,1956,0.06314277
492,J.W. Davidson Residence & Coach House,UPPER MOUNT ROYAL,1908,0.06281734
474,Hyde Residence,UPPER MOUNT ROYAL,1911,0.060306355
899,Trainer Residence,UPPER MOUNT ROYAL,1911,0.060306355
55,All Saints Russian Orthodox Church,RENFREW,1962,0.05970602
593,McClelland Residence,UPPER MOUNT ROYAL,1909,0.05952538
275,Dairy Bar Sign,RAMSAY,1957,0.058090974
313,Earl Grey Elementary School,UPPER MOUNT ROYAL,1968,0.056241255
513,John Jefferies Residence,RAMSAY,1911,0.05586318
774,Sanderson Residence - Ramsay,RAMSAY,1911,0.05586318
571,MacLean Residence,RAMSAY,1910,0.055101376
829,Spencer Residence,UPPER MOUNT ROYAL,1913,0.054498978
587,Mayland Heights Elementary School,MAYLAND HEIGHTS,1968,0.053744193
227,Christie Ranch House,SAGE HILL,1898,0.052451074
878,Stringer Residence,UPPER MOUNT ROYAL,1910,0.05224749
642,Nelco Square,FRANKLIN,1979,0.052216835
106,Black & White Meat and Groceries,RAMSAY,1949,0.049409457
605,McLaws Residence,UPPER MOUNT ROYAL,1910,0.046405725
755,Robinson Residence,UPPER MOUNT ROYAL,1910,0.046405725
709,Pop's Confectionery,RAMSAY,1902,0.04579619
698,Phillips Building,DOWNTOWN COMMERCIAL CORE,1968,0.044160582
757,Rogerson Residence,RAMSAY,1910,0.04038953
406,Graves-Chittick Block,BELTLINE,1906,0.03842615
414,Grocery Store,BELTLINE,1907,0.03842615
941,Welch Residence,UPPER MOUNT ROYAL,1907,0.033698913
850,St. Luke's Catholic Church,BRENTWOOD,1968,0.033333544
836,St. Anne’s Roman Catholic Church,RAMSAY,1958,0.03230195
518,Johnson Residence,RAMSAY,1908,0.028476933
245,Condon Building,SUNALTA,1966,0.028375706
135,Brower House,SUNNYSIDE,1907,0.028187145
94,Beers Residence,RAMSAY,1907,0.020764016
